OldNotesPages,FutureMFLabels,ProposedChapterTargets,DataAnalysisUses
p. 16,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:ones-vector; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-as-data`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: Inner-product form $\boldsymbol{\beta}^T\mathbf{x}$ || Ch4: Mean as a vector operation || Ch5: Sample means as sums || Ch8: Mean and residual decomposition
p. 18,mf:angles; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-projection-bridge; mf:least-squares-residual-orthogonality; mf:norms-euclidean; mf:orthogonality; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:angles`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-residual-orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch4: Correlation as geometric alignment || Ch5: Residual orthogonality
p. 20,mf:bases; mf:data-analysis-bridge-index; mf:dimension; mf:linear-independence; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch6: Residual degrees of freedom
p. 20; p. 18,mf:bases; mf:data-analysis-bridge-index; mf:dimension; mf:linear-independence; mf:ones-vector; mf:orthogonality; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:orthogonality`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch6: The $F$-Statistic
p. 25,mf:column-space; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch8: Column space and fitted values || Ch9: Fitted values as \(\mathbf{X}\widehat{\boldsymbol{\beta}}\)
p. 31,mf:data-analysis-bridge-index; mf:vandermonde-matrices,"Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:vandermonde-matrices`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: Vandermonde / polynomial design
p. 7; p. 16,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:probability-vectors; mf:vector-entries-subvectors; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:probability-vectors`, `mf:vectors-rn`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: Expectation
pp. 1--3,mf:data-analysis-bridge-index; mf:logic-negation; mf:logic-statements,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch6: From Fit Quality to Hypothesis Testing || Ch6: Hypothesis statements
pp. 1--5,mf:data-analysis-bridge-index; mf:logic-implication; mf:logic-negation; mf:logic-statements,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`, `mf:logic-implication`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: Reasoning from assumptions to conclusions
"pp. 104--105, 120--122",mf:ata-invertibility; mf:data-analysis-bridge-index; mf:gradient; mf:least-squares-normal-equations; mf:least-squares-objective; mf:least-squares-projection-bridge; mf:norms-euclidean; mf:positive-semidefinite; mf:stationary-points,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:ata-invertibility`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:stationary-points`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:positive-semidefinite`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:ata-invertibility`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:stationary-points`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:positive-semidefinite`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:gradient`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Least-squares normal-equation bridge || Ch12: Least-squares repair criterion || Ch7: Normal-equation bridge
pp. 11--15,mf:data-analysis-bridge-index; mf:logic-negation; mf:logic-statements; mf:quantifier-negation; mf:quantifiers; mf:set-membership; mf:set-operations; mf:subsets; mf:vectors-as-data,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`; Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:quantifiers`, `mf:quantifier-negation`, `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:quantifiers`, `mf:quantifier-negation`, `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`","Ch3: Cleaning by subsetting observations || Ch3: Fixing Data Types and Standardizing Variables || Ch3: Numeric, ordinal, and categorical variable domains"
pp. 16--17,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-objective; mf:norms-euclidean,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch4: Variance and standard deviation as squared length || Ch5: Least squares objective as a norm || Ch6: TSS and RSS as squared lengths
