Label,ProposedChapter,ProposedChapterTitle,ProposedSectionTitle,OldNotesPages,Notes,DraftStatus,ImplementedInSource
mf:logic-statements,Ch01,Logic and Deductive Reasoning,Mathematical statements and truth values,pp. 1--3,"Supports assumptions, hypotheses, and defensible conclusions.",implemented,Ch01_Logic_and_Deductive_Reasoning_v1.tex
mf:logic-negation,Ch01,Logic and Deductive Reasoning,Negation and alternatives,pp. 1--5,Supports null/alternative hypotheses and quantified cleaning rules.,implemented,Ch01_Logic_and_Deductive_Reasoning_v1.tex
mf:logic-implication,Ch01,Logic and Deductive Reasoning,"Implication, biconditional reasoning, and De Morgan rules",pp. 1--5,Supports reasoning from assumptions to conclusions.,implemented,Ch01_Logic_and_Deductive_Reasoning_v1.tex
mf:vectors-rn,Ch02,Vectors in R^n,Vectors in R^n,pp. 6--7,Core vector notation dependency.,implemented,Ch02_Vectors_in_Rn_v1.tex
mf:vectors-as-data,Ch02,Vectors in R^n,Vectors as structured collections of quantities,pp. 6--7,"Bridge from vectors to data columns, observations, and feature vectors.",implemented,Ch02_Vectors_in_Rn_v1.tex
mf:vector-entries-subvectors,Ch02,Vectors in R^n,"Entries, coordinates, and subvectors",pp. 6--8,Supports row/column selection and vector coordinates.,implemented,Ch02_Vectors_in_Rn_v1.tex
mf:ones-vector,Ch02,Vectors in R^n,"Special vectors, including the ones vector",pp. 6--7,Supports mean-only vectors and intercept columns.,implemented,Ch02_Vectors_in_Rn_v1.tex
mf:probability-vectors,Ch02,Vectors in R^n,Probability vectors as weighted collections,p. 7,Supports expectation as weighted average / inner product.,implemented,Ch02_Vectors_in_Rn_v1.tex
mf:vector-arithmetic,Ch03,Vector Operations and Linear Combinations,"Vector addition, subtraction, and centering",pp. 8--10,Supports residuals and centered variables.,implemented,Ch03_Vector_Operations_and_Linear_Combinations_v1.tex
mf:scalar-multiplication,Ch03,Vector Operations and Linear Combinations,Scalar multiplication,pp. 8--10,Supports weighted predictors and scaled vectors.,implemented,Ch03_Vector_Operations_and_Linear_Combinations_v1.tex
mf:linear-combinations,Ch03,Vector Operations and Linear Combinations,Linear combinations,pp. 9--10,"Supports fitted values, columns, and parameterized models.",implemented,Ch03_Vector_Operations_and_Linear_Combinations_v1.tex
mf:centered-vectors,Ch03,Vector Operations and Linear Combinations,Centered vectors and deviations,pp. 8--10,"Supports spread, covariance, correlation, and sums of squares.",implemented,Ch03_Vector_Operations_and_Linear_Combinations_v1.tex
mf:set-membership,Ch04,"Sets, Set Operations, and Quantifiers",Set membership and common number systems,pp. 11--15,Supports variable domains and valid values.,implemented,Ch04_Sets_Set_Operations_and_Quantifiers_v1.tex
mf:set-operations,Ch04,"Sets, Set Operations, and Quantifiers","Set operations, complements, and differences",pp. 11--15,"Supports filtering, row selection, and cleaning rules.",implemented,Ch04_Sets_Set_Operations_and_Quantifiers_v1.tex
mf:subsets,Ch04,"Sets, Set Operations, and Quantifiers",Subsets and families of sets,pp. 11--15,Supports selected rows/columns and data-cleaning subsets.,implemented,Ch04_Sets_Set_Operations_and_Quantifiers_v1.tex
mf:quantifiers,Ch04,"Sets, Set Operations, and Quantifiers",Universal and existential quantifiers,pp. 11--15,Supports precise cleaning predicates and assumptions.,implemented,Ch04_Sets_Set_Operations_and_Quantifiers_v1.tex
mf:quantifier-negation,Ch04,"Sets, Set Operations, and Quantifiers",Negating quantified statements,pp. 11--15,Supports defensive data-cleaning logic.,implemented,Ch04_Sets_Set_Operations_and_Quantifiers_v1.tex
mf:dot-product,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Dot products,p. 16,"Supports weighted sums, inner products, covariance, and normal equations.",implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:inner-product-weighted-sums,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Inner products as weighted sums,p. 16,"Supports expectation, means, and linear predictors.",implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:norms-euclidean,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Euclidean norm and squared length,pp. 16--18,"Supports RSS, TSS, MSE, RMSE, and least-squares geometry.",implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:vector-distance,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Distance between vectors,pp. 17--18,Supports residual length and prediction error.,implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:angles,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Angles between vectors,p. 18,Supports correlation as geometric alignment.,implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:orthogonality,Ch05,"Dot Products, Norms, Distance, Angles, and Orthogonality",Orthogonality and zero dot products,p. 18,Supports residual orthogonality and projection geometry.,implemented,Ch05_Dot_Products_Norms_Distance_Angles_Orthogonality_v1.tex
mf:linear-independence,Ch06,"Linear Independence, Span, Bases, and Dimension",Linear independence,pp. 20--21,"Supports rank, degrees of freedom, and identifiability.",implemented,Ch06_Linear_Independence_Span_Bases_Dimension_v1.tex
mf:span,Ch06,"Linear Independence, Span, Bases, and Dimension",Span,pp. 20--22,Supports column-space and fitted-value interpretations.,implemented,Ch06_Linear_Independence_Span_Bases_Dimension_v1.tex
mf:bases,Ch06,"Linear Independence, Span, Bases, and Dimension",Bases and coordinates,pp. 20--22,Supports dimension and unique linear-combination representations.,implemented,Ch06_Linear_Independence_Span_Bases_Dimension_v1.tex
mf:dimension,Ch06,"Linear Independence, Span, Bases, and Dimension",Dimension and maximum independent sets,pp. 20--21,Supports degrees of freedom.,implemented,Ch06_Linear_Independence_Span_Bases_Dimension_v1.tex
mf:matrices-dimensions,Ch07,Matrices and Matrix-Vector Multiplication,Matrix notation and dimensions,pp. 23--24,Supports design matrices and data tables.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:transpose,Ch07,Matrices and Matrix-Vector Multiplication,Transpose notation,pp. 23--25,Supports X^T e and normal-equation notation.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:identity-matrix,Ch07,Matrices and Matrix-Vector Multiplication,Identity matrices and symmetry,pp. 23--24,Supports hat matrices and matrix algebra.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:matrix-vector-row-view,Ch07,Matrices and Matrix-Vector Multiplication,Matrix-vector multiplication as row inner products,p. 25,Supports X beta as fitted values.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:matrix-vector-column-view,Ch07,Matrices and Matrix-Vector Multiplication,Matrix-vector multiplication as a linear combination of columns,pp. 25--26,Supports fitted values as column-space combinations.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
