Label,ProposedChapter,ProposedChapterTitle,ProposedSectionTitle,OldNotesPages,Notes
mf:logic-statements,Ch01,Logic and Deductive Reasoning,Mathematical statements and truth values,pp. 1--3,"Supports assumptions, hypotheses, and defensible conclusions."
mf:logic-negation,Ch01,Logic and Deductive Reasoning,Negation and alternatives,pp. 1--5,Supports null/alternative hypotheses and quantified cleaning rules.
mf:logic-implication,Ch01,Logic and Deductive Reasoning,"Implication, biconditional reasoning, and De Morgan rules",pp. 1--5,Supports reasoning from assumptions to conclusions.
mf:vectors-rn,Ch02,Vectors in R^n,Vectors in R^n,pp. 6--7,Core vector notation dependency.
mf:vectors-as-data,Ch02,Vectors in R^n,Vectors as structured collections of quantities,pp. 6--7,"Bridge from vectors to data columns, observations, and feature vectors."
mf:vector-entries-subvectors,Ch02,Vectors in R^n,"Entries, coordinates, and subvectors",pp. 6--8,Supports row/column selection and vector coordinates.
mf:ones-vector,Ch02,Vectors in R^n,"Special vectors, including the ones vector",pp. 6--7,Supports mean-only vectors and intercept columns.
mf:probability-vectors,Ch02,Vectors in R^n,Probability vectors as weighted collections,p. 7,Supports expectation as weighted average / inner product.
mf:vector-arithmetic,Ch03,Vector Operations and Linear Combinations,"Vector addition, subtraction, and centering",pp. 8--10,Supports residuals and centered variables.
mf:scalar-multiplication,Ch03,Vector Operations and Linear Combinations,Scalar multiplication,pp. 8--10,Supports weighted predictors and scaled vectors.
mf:linear-combinations,Ch03,Vector Operations and Linear Combinations,Linear combinations,pp. 9--10,"Supports fitted values, columns, and parameterized models."
mf:centered-vectors,Ch03,Vector Operations and Linear Combinations,Centered vectors and deviations,pp. 8--10,"Supports spread, covariance, correlation, and sums of squares."
mf:set-membership,Ch04,"Sets, Set Operations, and Quantifiers",Set membership and common number systems,pp. 11--15,Supports variable domains and valid values.
mf:set-operations,Ch04,"Sets, Set Operations, and Quantifiers","Set operations, complements, and differences",pp. 11--15,"Supports filtering, row selection, and cleaning rules."
mf:subsets,Ch04,"Sets, Set Operations, and Quantifiers",Subsets and families of sets,pp. 11--15,Supports selected rows/columns and data-cleaning subsets.
mf:quantifiers,Ch04,"Sets, Set Operations, and Quantifiers",Universal and existential quantifiers,pp. 11--15,Supports precise cleaning predicates and assumptions.
