SourceType,DataAnalysisChapter,DataAnalysisContext,DataAnalysisUse,MathFoundationsSupport,CurrentNotesPages,FutureMFLabels,FutureMFTarget,SourceFile,SourceLine
Source Map,1,Data Analysis as Statistical Learning,Feature vectors for observations,"$\mathbb{R}^n$ vector notation, vector entries, subvectors, and vectors as collections of quantities belonging to the same object",pp. 6--7,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,414
Source Map,1,Data Analysis as Statistical Learning,Linear models as weighted inputs,Scalar multiplication and linear combinations of vectors,pp. 9--10,mf:scalar-multiplication; mf:linear-combinations; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,416
Source Map,1,Data Analysis as Statistical Learning,Inner-product form $\boldsymbol{\beta}^T\mathbf{x}$,"Dot product definition, dot product properties, and examples of weighted sums",p. 16,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,418
Source Map,1,Data Analysis as Statistical Learning,Neural-network layers as repeated linear operations plus nonlinearities,Matrix-vector multiplication as row inner products and as linear combinations of columns,pp. 23--26,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,420
Source Map,1,Data Analysis as Statistical Learning,Correlation as linear alignment,"Dot products, Euclidean norm, distance, angle, and orthogonality",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,422
Source Map,1,Data Analysis as Statistical Learning,Reasoning from assumptions to conclusions,"Logic, truth tables, implications, biconditionals, and De Morgan's laws",pp. 1--5,mf:logic-statements; mf:logic-negation; mf:logic-implication; mf:data-analysis-bridge-index,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`, `mf:logic-implication`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,424
Source Map,2,"Prediction Error, Flexibility, and Generalization","Response, prediction, and residual vectors","$\mathbb{R}^n$ vector notation, entries, and vector subtraction",pp. 6--8,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:vector-arithmetic; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,364
Source Map,2,"Prediction Error, Flexibility, and Generalization",Empirical MSE as squared distance,"Dot products, $\mathbf{a}^T\mathbf{a}=\sum_i a_i^2$, Euclidean norm, and distance between vectors",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,366
Source Map,2,"Prediction Error, Flexibility, and Generalization",Residual length and RMSE,Euclidean norm properties and distance as $\|\mathbf{a}-\mathbf{b}\|$,pp. 17--18,mf:vectors-as-data; mf:norms-euclidean; mf:vector-distance; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,368
Source Map,2,"Prediction Error, Flexibility, and Generalization",Linear models as finite-parameter estimators,"Linear combinations, coefficients of linear combinations, and inner products","pp. 9--10, 16",mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,370
